	2	2	2	2	3	3	3	2	1	1	3	1	1	1	2	2	2	2	1	1	2	2	1	1	1	2	2	2	2	1	2	2	2	1	2	1	2	1	1	1	1	1	3	1	2	2	1	1	1	1	3	1	3	2	2	2	0	1	1	1	1	2	1	1	1	1	2	0	1	2	1	1	0	1	1	0	2	1	3	1	0	1	0	1	0	0	0	2	3	1	0	0	0	0	0	0	0	0	1	0
	2	2	2	2	3	3	3	3	1	1	3	1	1	1	2	2	2	2	1	1	3	2	1	1	1	2	2	2	2	2	2	2	2	1	2	1	2	1	1	1	2	1	3	1	2	2	1	1	1	1	3	1	3	2	2	2	1	1	1	1	1	2	1	1	2	1	2	0	1	2	1	1	0	1	1	1	2	1	3	1	1	1	1	1	0	0	0	3	3	1	0	0	0	0	0	0	0	0	1	0
	2	2	2	2	3	3	3	3	2	1	3	1	1	1	2	2	2	2	1	1	3	2	1	1	1	2	2	2	2	2	3	2	2	1	2	1	2	1	2	1	2	2	3	1	2	2	1	1	1	1	3	1	3	2	2	2	1	1	1	1	1	2	1	1	2	2	2	1	1	2	1	1	0	1	1	1	3	1	3	1	1	1	1	1	0	1	0	3	3	1	1	1	0	0	0	0	0	0	1	0
	2	2	2	2	3	3	3	3	2	2	3	1	1	1	2	2	2	2	1	1	3	3	1	1	1	2	2	2	2	2	3	3	2	1	2	1	2	1	2	2	2	2	3	1	2	2	1	1	1	1	3	1	3	2	2	2	1	1	1	1	1	2	1	1	2	2	2	1	1	2	1	1	0	1	2	2	3	2	3	1	1	2	1	1	1	1	0	3	3	1	1	1	1	0	0	0	0	0	1	0
	2	2	2	2	3	3	3	3	2	2	3	2	1	1	2	2	2	2	1	2	3	3	2	1	1	2	2	2	2	2	3	3	2	1	2	1	2	1	2	2	2	2	3	1	2	2	1	1	1	2	3	1	3	2	2	2	1	1	1	1	1	2	1	1	2	2	2	1	2	2	1	2	0	2	2	2	3	2	3	1	1	2	1	1	1	2	0	3	3	1	1	1	1	1	1	0	0	0	1	0
	2	3	2	2	3	3	3	3	2	2	3	2	1	1	2	2	2	2	1	2	3	3	2	2	1	2	2	2	2	3	3	3	2	1	2	1	2	1	2	2	2	2	3	1	2	2	1	1	1	2	3	1	3	2	2	2	1	2	1	2	1	2	1	2	2	2	2	1	2	2	1	2	1	2	2	2	3	2	3	1	1	2	1	2	1	2	1	3	3	1	1	1	1	1	1	1	0	0	1	0
	3	3	2	2	3	3	3	3	2	2	3	2	1	1	2	2	2	2	1	2	3	3	2	2	2	2	2	2	2	3	3	3	2	1	2	1	2	1	3	2	2	2	3	1	2	2	1	1	1	2	3	1	4	2	2	2	1	2	2	2	1	2	2	2	2	2	2	1	2	3	1	2	1	3	2	2	3	2	3	1	1	2	1	2	1	3	1	3	3	1	1	1	1	1	1	1	1	0	1	0
	3	3	2	2	3	3	3	3	2	2	4	2	1	1	2	2	2	2	1	2	3	3	2	2	2	3	2	2	2	3	3	3	2	1	2	1	2	1	3	3	2	2	3	2	2	2	1	1	2	2	3	2	4	2	2	2	1	2	2	2	1	2	2	3	2	2	2	1	2	3	1	2	1	3	2	2	3	2	3	2	1	2	1	2	2	3	1	3	3	1	1	1	1	1	1	1	1	1	1	0
	3	3	2	2	3	3	3	3	2	2	4	2	1	1	2	3	2	2	1	2	4	3	2	2	2	3	2	2	2	3	3	3	2	2	2	1	2	1	3	3	2	3	3	2	2	2	1	2	2	3	3	2	5	2	2	2	1	2	2	2	1	2	2	3	2	2	2	1	2	3	1	2	1	3	2	2	3	2	3	2	1	2	1	3	2	3	1	3	3	2	1	1	1	1	1	1	1	1	2	0
	3	3	2	2	3	3	4	3	2	2	4	2	1	1	2	3	2	2	1	2	4	3	2	3	2	3	2	2	2	3	4	3	2	2	2	1	2	2	3	3	3	3	3	3	2	2	1	2	2	3	3	2	5	2	2	2	1	2	2	3	1	2	2	3	2	2	2	1	2	3	1	2	2	3	2	2	3	2	3	2	1	2	1	3	2	3	1	3	4	2	1	1	1	1	1	1	1	1	2	1
	3	3	2	2	3	3	4	4	2	2	4	2	1	1	2	3	2	2	1	2	4	3	3	3	2	3	2	3	2	3	4	4	2	3	2	1	2	2	3	3	3	3	3	3	2	2	1	2	2	3	4	2	5	2	2	2	1	2	2	3	1	2	2	3	2	2	2	1	2	4	1	2	2	4	2	2	3	2	4	2	1	2	1	3	2	3	1	3	4	3	1	1	1	1	1	1	1	1	2	1
	3	3	2	2	3	3	4	4	3	2	4	2	2	1	2	3	2	3	1	2	4	3	3	4	2	3	2	3	2	3	4	4	3	3	2	1	2	2	3	3	3	3	3	3	2	2	1	2	2	3	4	2	5	2	2	2	1	2	2	3	2	2	2	4	2	2	2	1	3	4	1	2	2	4	2	2	3	3	4	3	1	2	1	3	2	3	1	3	4	3	1	1	1	1	1	1	1	1	2	1
	3	3	2	3	3	3	4	4	3	3	4	2	2	1	2	3	2	3	2	2	4	3	3	4	3	3	2	3	2	3	4	4	3	3	2	1	2	2	3	3	3	3	4	3	2	2	1	2	2	3	4	2	6	2	2	2	1	2	2	3	2	3	2	4	2	2	2	2	3	4	1	2	2	4	2	2	3	3	5	3	1	2	1	3	2	3	1	4	4	3	1	1	1	1	1	1	1	1	2	1
	3	3	2	3	4	3	4	4	4	3	4	2	2	2	2	3	2	3	2	3	4	3	3	4	3	3	2	3	2	3	4	4	3	3	2	1	2	2	3	3	3	3	4	3	2	2	1	2	2	3	4	3	6	3	2	2	1	2	2	3	2	3	2	4	2	2	3	2	3	4	2	2	2	4	2	2	4	4	5	3	1	2	1	3	2	3	1	4	4	3	1	1	1	1	1	1	1	1	2	1
	3	3	2	3	4	4	4	5	4	3	4	2	2	2	3	3	2	3	2	3	4	3	3	4	3	3	2	3	2	4	4	4	3	3	2	1	2	2	3	3	3	3	4	3	3	2	1	2	2	3	4	3	6	3	2	3	1	2	2	3	2	4	2	4	2	2	3	2	3	4	2	2	2	4	2	3	4	4	5	3	2	2	1	3	2	3	1	4	5	3	1	1	1	1	1	1	1	1	2	1
	3	3	2	3	4	4	5	5	4	3	4	2	2	2	3	3	3	3	2	3	4	3	3	4	3	4	2	3	3	4	4	4	3	3	3	1	2	2	3	3	3	3	4	3	3	3	1	2	2	3	4	3	6	3	2	3	1	2	2	3	3	4	2	4	2	3	3	2	3	4	2	2	2	4	2	3	4	4	5	3	2	2	1	3	2	3	1	4	5	3	2	1	1	1	1	1	1	2	2	1
	3	3	2	3	4	4	5	6	4	3	4	2	2	2	3	4	3	3	2	3	4	3	3	4	3	4	3	3	3	4	4	4	3	4	3	2	2	2	4	3	3	3	4	3	3	3	1	2	2	3	4	3	6	3	2	4	1	2	2	3	3	4	2	4	2	3	3	2	3	4	3	2	2	4	2	3	4	4	5	3	2	2	1	3	2	3	1	4	5	3	2	2	1	1	1	1	2	2	2	1
	3	3	2	3	4	4	5	6	4	3	4	2	2	2	4	4	3	4	2	3	4	3	3	4	3	4	3	4	3	4	4	4	3	4	3	2	3	2	4	4	3	3	4	4	3	4	1	2	2	3	4	3	6	3	2	4	1	2	2	3	3	4	2	4	2	3	3	2	3	4	3	2	2	4	2	3	4	4	5	3	3	2	2	3	2	3	2	4	5	3	2	2	1	1	1	1	2	2	2	1
	3	3	2	3	4	4	5	6	4	3	4	2	2	2	4	4	3	4	3	3	4	3	3	4	4	4	3	4	4	4	4	4	3	4	4	2	3	2	4	4	3	3	4	4	3	4	2	2	2	4	4	3	7	3	2	4	1	2	2	3	3	4	2	4	2	3	3	2	3	4	3	2	2	4	2	4	4	4	5	3	3	2	2	3	2	3	2	4	5	3	3	2	2	1	1	1	2	2	2	1
	3	3	2	3	4	4	5	6	4	3	4	2	2	2	4	4	3	4	3	4	4	3	3	5	4	4	3	4	4	5	4	4	3	5	4	2	3	2	4	4	3	3	4	4	3	4	2	2	2	4	4	3	7	3	2	4	2	2	2	4	3	4	3	4	2	4	3	2	3	4	3	2	2	4	2	4	4	4	5	3	3	2	2	3	2	3	2	4	5	3	3	3	2	2	1	1	2	2	2	1
	3	3	2	3	4	4	5	6	4	4	4	2	2	2	4	4	3	4	3	4	4	3	4	5	4	4	3	4	4	5	4	4	3	5	4	2	3	2	5	4	3	3	4	5	3	4	2	2	2	4	4	3	7	3	2	5	2	3	2	4	3	5	3	4	2	4	3	2	3	5	3	2	2	4	2	4	4	4	5	3	3	2	3	3	3	3	2	4	5	3	3	3	2	2	1	1	2	2	2	1
	3	3	2	3	4	4	5	6	5	4	4	2	2	2	4	4	3	4	3	4	4	4	4	5	4	4	3	4	4	5	4	4	3	5	4	2	3	2	5	4	3	3	4	5	3	5	2	2	3	4	5	3	8	3	2	5	2	3	3	4	3	5	3	4	2	4	3	2	3	5	3	2	2	4	3	4	4	4	6	3	3	2	3	3	3	3	2	4	5	3	3	3	3	2	1	1	2	2	2	1
	3	3	2	3	4	4	5	7	5	4	4	3	2	2	4	4	3	4	3	4	4	4	4	5	4	4	3	4	4	5	4	4	3	5	5	2	3	2	5	4	3	3	4	5	3	5	2	3	3	5	5	3	8	3	2	5	2	3	3	4	4	5	4	4	3	4	3	2	3	5	3	2	2	4	3	4	4	4	6	4	3	2	3	3	3	3	2	4	5	3	3	3	3	3	1	1	2	2	2	1
	3	4	2	3	4	4	6	7	5	4	4	3	2	2	4	4	3	4	3	4	4	4	4	5	5	4	3	4	4	5	4	4	3	5	5	2	3	3	5	5	3	3	4	5	3	5	2	3	3	5	5	3	8	4	2	5	2	3	3	4	4	6	4	4	3	4	3	2	3	5	4	2	2	4	3	4	4	4	6	4	3	2	3	3	4	3	2	4	5	4	3	3	3	3	1	1	2	2	2	1
	4	4	2	3	4	5	6	7	5	4	4	3	2	3	4	4	3	4	3	4	4	4	4	5	5	4	3	5	4	6	4	4	3	5	5	2	3	3	5	5	3	3	4	6	3	5	2	3	3	5	5	3	8	4	2	5	2	3	3	4	4	6	4	4	3	4	3	2	3	5	4	3	2	4	4	4	4	4	6	4	4	2	3	3	4	3	2	4	6	4	3	3	3	3	1	1	2	2	2	1
	4	4	2	4	5	5	6	7	5	4	5	3	2	3	4	4	4	4	3	4	4	4	4	5	5	4	3	5	5	6	4	4	4	5	5	2	3	3	5	5	3	3	4	6	3	5	2	3	3	5	5	3	8	4	2	5	2	3	3	4	4	6	4	4	4	4	3	2	3	5	4	3	2	4	4	4	4	5	6	4	4	3	3	3	4	3	2	4	6	4	4	3	3	3	1	1	2	2	2	1
	4	4	3	4	5	5	7	7	5	4	5	3	2	3	5	4	4	4	3	4	5	4	5	5	5	4	3	5	5	6	4	4	4	5	5	2	3	4	5	5	3	3	4	6	3	5	2	3	3	5	5	3	8	5	2	5	2	3	3	4	4	6	4	4	4	4	3	3	3	5	4	3	2	4	4	4	4	5	6	4	4	3	4	3	4	3	2	4	6	4	4	4	3	3	1	1	2	2	2	1
	4	5	3	4	5	6	7	7	5	4	5	4	2	3	5	4	4	4	3	4	5	4	5	5	5	5	3	5	5	6	5	4	4	5	5	2	3	4	5	5	3	3	4	6	4	5	2	4	3	5	5	3	8	5	2	5	3	3	3	4	4	6	4	4	4	4	3	3	3	5	4	3	2	4	4	4	4	5	6	4	4	4	4	3	4	3	2	4	6	4	4	4	4	3	1	1	2	2	2	1
	5	5	3	4	6	6	7	7	5	4	6	4	2	3	5	4	4	4	3	4	5	4	5	5	5	5	3	5	5	6	5	4	4	5	6	3	4	4	5	5	3	4	4	6	4	5	2	4	3	5	5	3	8	5	2	5	3	3	3	4	4	6	4	4	4	4	4	3	3	5	5	3	2	4	4	4	4	5	6	4	4	4	4	3	4	3	2	4	6	4	4	4	4	4	1	1	2	2	2	1
	5	6	3	5	6	6	7	7	5	4	6	4	2	3	5	4	4	4	3	4	6	4	5	5	5	5	4	5	5	6	5	4	4	6	6	3	4	4	5	5	3	4	4	6	4	5	3	4	3	5	6	3	8	5	2	5	3	3	3	4	5	6	4	4	4	5	4	3	3	5	5	3	2	4	4	4	4	5	6	4	4	4	4	3	5	3	2	4	6	4	4	4	4	4	1	1	2	2	2	1
	5	6	4	5	6	6	7	7	5	4	6	4	3	3	5	4	5	4	3	4	6	4	5	5	5	5	4	5	5	6	6	4	4	6	6	3	4	4	5	5	4	4	4	7	4	5	3	4	3	5	6	3	8	5	2	6	3	3	3	4	5	7	4	4	4	5	4	3	3	5	5	3	2	4	5	4	4	5	6	4	4	4	4	4	5	3	2	4	6	4	4	4	4	4	1	1	2	2	2	1
	5	6	4	5	6	6	7	7	5	4	6	5	3	3	5	5	5	4	3	4	6	4	5	6	5	5	4	5	5	6	6	5	5	6	6	3	4	4	5	5	4	5	4	7	4	5	3	4	3	5	6	4	8	5	3	6	3	3	3	4	5	7	4	4	5	5	4	3	3	5	5	3	2	5	5	4	4	5	6	4	4	4	4	4	5	3	2	4	6	4	4	4	4	4	1	1	2	2	2	1
	5	6	4	5	6	6	8	7	5	4	6	5	3	3	5	5	5	4	3	4	6	5	6	6	6	5	4	5	5	6	6	5	5	6	6	3	4	4	5	5	4	5	5	7	4	6	3	4	3	5	7	4	9	5	3	6	3	3	3	4	5	7	4	5	5	5	4	3	3	5	5	3	3	5	5	4	4	5	6	4	4	4	4	4	5	3	2	4	6	4	4	4	4	4	1	1	2	2	2	1
	5	6	4	5	6	6	8	8	5	4	7	5	3	4	5	5	5	4	3	4	6	5	6	7	6	5	4	5	5	6	6	5	5	6	6	3	4	4	5	5	4	5	5	8	5	6	3	4	3	5	7	4	9	6	3	6	3	3	3	4	6	7	5	5	5	5	4	3	3	5	5	3	3	5	5	4	4	5	6	4	4	4	5	4	5	3	2	4	6	4	4	4	4	4	1	1	2	2	2	1
	5	7	4	5	6	6	8	8	5	4	7	5	4	4	6	5	5	5	3	4	6	5	6	7	6	5	4	5	5	6	6	5	5	7	7	3	4	4	5	5	4	5	5	8	5	6	3	4	3	5	7	4	9	6	4	6	3	3	3	4	6	7	5	5	5	5	4	3	3	5	6	4	3	5	5	4	4	5	6	4	4	5	5	4	5	3	2	4	6	4	4	4	4	4	1	1	2	2	2	1
	6	7	4	6	6	6	8	8	5	4	7	5	4	4	6	6	5	5	3	4	6	5	6	7	7	6	4	6	5	6	6	5	5	7	7	3	4	4	5	5	4	5	5	8	5	6	3	4	3	5	7	4	9	6	4	6	3	3	3	4	7	8	5	5	5	6	4	3	3	5	6	4	3	5	5	4	4	5	6	4	5	5	5	4	5	3	2	4	6	4	4	4	4	4	1	1	2	2	2	1
	6	7	4	6	7	6	8	8	5	4	8	5	4	5	6	6	5	5	3	4	6	5	6	7	7	6	5	6	6	6	6	5	5	7	7	4	4	4	5	5	4	5	5	8	5	6	3	4	3	5	8	5	9	6	4	6	3	3	3	4	7	8	5	5	5	6	4	3	3	5	6	4	3	5	5	5	4	5	6	4	5	5	5	4	5	3	2	4	6	4	5	4	4	4	1	1	2	2	2	1
	6	7	4	6	7	7	8	8	5	4	8	5	4	5	7	6	5	5	4	4	7	5	6	7	7	6	5	7	6	6	6	5	5	7	7	4	5	4	5	5	5	6	5	8	5	6	3	4	3	5	8	5	9	6	4	6	3	3	3	4	7	8	5	5	5	6	4	3	3	5	6	4	3	5	5	5	5	5	6	4	5	5	5	4	5	3	2	4	6	4	5	5	4	4	1	1	2	2	2	1
	6	7	4	6	7	7	9	8	5	4	8	5	4	5	7	7	5	6	4	5	7	5	6	7	7	6	5	7	6	6	7	6	5	7	7	4	5	5	5	5	5	6	5	8	5	6	3	4	3	5	9	5	9	6	4	6	3	3	3	4	7	8	5	5	5	6	4	3	3	5	6	4	3	5	5	5	5	5	6	4	5	5	5	4	5	3	3	4	6	4	5	5	5	4	1	1	2	2	2	1
	6	7	4	6	7	7	9	9	5	5	8	5	4	5	7	7	5	6	5	5	7	6	6	7	7	6	6	7	6	6	7	6	6	7	7	4	5	5	6	5	5	6	5	8	5	6	3	4	3	5	9	5	9	6	4	6	3	3	3	4	7	9	5	5	5	6	4	3	3	5	6	4	3	5	5	5	5	5	6	4	5	5	5	4	5	4	3	4	6	4	5	5	5	5	1	1	2	2	2	1
	6	7	4	6	7	7	9	9	6	5	8	6	4	5	7	7	5	7	5	5	7	6	6	7	7	6	6	8	6	7	7	6	6	8	7	4	5	5	6	5	5	6	5	8	5	6	3	4	4	5	9	5	9	6	4	6	3	3	3	4	7	9	6	5	5	6	4	3	3	5	6	4	3	5	5	5	5	5	6	4	5	5	5	4	5	4	3	4	6	4	5	5	5	5	2	2	2	2	2	1
	6	8	4	6	7	7	9	9	6	5	8	6	4	5	7	7	6	7	6	5	7	6	6	7	8	6	6	8	6	7	7	6	6	8	7	4	5	6	7	5	5	6	5	8	5	6	3	4	4	5	9	5	10	6	4	6	3	4	3	4	7	9	6	5	5	6	4	3	3	5	6	4	3	5	5	5	5	5	6	4	5	5	5	4	6	4	3	4	6	4	5	5	5	5	2	2	3	2	2	1
	7	8	4	6	7	7	9	9	6	5	8	6	4	6	7	8	6	7	6	5	7	6	6	7	8	6	6	8	6	8	7	6	6	8	7	4	5	6	7	5	5	6	5	8	5	6	3	4	5	6	9	5	10	7	4	6	3	4	4	4	7	9	6	5	5	6	4	3	3	5	6	4	3	5	5	5	5	5	6	4	5	5	5	5	6	4	3	4	6	4	5	5	5	5	2	2	3	3	2	1
	7	8	4	6	7	7	9	9	6	5	9	6	4	6	8	8	6	7	6	5	7	6	6	7	8	7	6	8	6	8	7	6	6	8	7	4	5	6	8	5	5	6	5	8	6	6	3	5	5	6	9	5	10	7	4	6	3	4	4	5	7	9	6	5	5	6	4	3	4	5	6	4	3	5	5	5	5	5	6	4	5	5	6	5	6	4	3	4	6	4	5	5	5	5	2	2	3	3	3	1
	7	8	4	6	8	7	9	9	6	5	9	6	4	6	8	8	6	7	6	5	8	6	6	7	8	7	6	8	6	8	7	6	6	8	8	4	5	6	8	6	5	6	5	8	6	7	3	5	5	6	9	5	10	7	4	6	4	4	4	5	7	9	6	5	5	6	4	3	4	6	6	4	4	5	5	5	5	5	7	4	5	5	6	5	6	4	3	4	6	5	5	5	5	5	2	2	3	3	3	1
	7	8	4	7	8	7	9	9	6	5	9	6	4	6	8	8	6	7	6	5	8	6	6	7	8	7	6	8	6	8	8	6	6	8	8	5	5	6	8	6	5	6	5	8	6	7	4	5	5	7	9	5	10	7	4	6	4	4	4	5	7	9	6	5	5	6	4	4	4	6	6	4	4	6	5	5	5	6	7	5	5	5	6	5	6	4	3	4	7	5	5	5	5	5	2	2	3	3	3	1
	7	8	5	7	8	7	9	9	6	5	9	6	4	6	8	8	6	7	6	5	8	6	6	7	8	7	6	8	6	8	8	6	6	8	8	5	6	6	8	6	5	7	5	8	6	7	4	6	6	7	9	5	10	7	4	6	4	4	4	5	7	9	6	5	5	6	5	4	4	6	6	4	4	6	6	5	6	6	7	5	5	5	6	5	6	4	3	5	7	6	5	5	5	5	2	2	3	3	3	1
	7	9	5	7	8	7	9	9	6	5	9	6	4	6	8	8	6	7	6	5	8	6	6	7	8	7	6	8	6	8	8	6	6	8	8	5	6	7	8	6	5	7	6	8	6	7	4	6	6	7	9	5	10	7	4	7	5	5	4	5	7	9	6	5	6	6	5	4	4	6	6	4	4	6	6	6	6	6	7	5	5	5	6	5	6	4	4	5	8	6	5	5	5	5	2	2	3	3	3	1
	7	9	5	7	8	7	9	9	6	5	9	7	4	6	8	8	6	7	6	5	8	6	6	7	8	7	6	8	7	8	8	6	6	8	8	5	6	7	8	6	5	7	6	9	6	7	4	6	6	7	9	5	10	7	5	7	5	5	5	5	7	9	6	6	6	6	5	5	4	6	6	4	4	6	7	6	6	7	7	5	5	5	6	5	6	5	4	5	8	6	5	5	5	5	2	2	3	3	3	1
	7	9	5	7	8	7	9	9	6	5	9	7	4	6	8	8	6	8	6	5	8	6	7	7	8	7	6	8	7	8	8	6	6	8	8	5	6	7	8	6	5	7	6	9	7	7	4	6	6	7	9	5	11	7	5	7	5	5	5	6	7	9	6	6	7	6	5	5	5	6	6	4	4	7	7	6	6	7	7	5	5	5	6	5	7	5	4	6	8	6	5	5	5	5	2	2	3	3	3	1
	7	9	5	7	8	7	9	10	6	5	9	7	4	6	8	8	6	8	6	5	8	7	7	7	8	7	6	8	7	8	8	6	6	9	8	5	6	7	8	6	5	7	6	9	7	7	4	6	6	7	9	6	11	7	5	7	5	5	6	6	7	9	6	7	7	6	5	5	5	7	6	4	5	7	7	6	6	7	7	5	5	5	6	6	7	5	5	6	8	6	5	5	5	5	2	2	3	3	3	1
	7	9	5	7	8	7	10	10	6	5	10	7	4	6	8	8	6	8	6	5	8	7	7	7	9	7	6	8	7	8	8	6	6	9	8	5	6	7	8	6	5	7	6	9	7	7	4	6	6	8	9	6	12	7	5	7	5	5	6	6	7	10	6	7	7	6	5	5	5	7	6	5	5	7	7	7	6	7	8	5	5	5	7	6	7	5	5	6	8	6	5	5	5	5	2	2	3	3	3	1
	8	9	5	7	8	8	10	10	6	5	10	7	4	7	8	8	6	8	6	5	8	7	7	7	9	7	6	8	7	8	8	6	6	9	8	5	6	7	9	6	5	7	7	9	7	7	4	6	6	8	9	6	12	7	5	7	5	5	6	6	7	10	7	7	7	6	5	5	5	7	7	5	5	7	8	7	6	7	8	6	5	6	7	6	7	5	5	6	8	6	5	5	5	5	2	2	3	3	3	1
	8	10	5	8	9	8	10	10	6	5	10	7	4	7	8	8	6	8	6	5	8	7	7	7	9	7	6	8	8	8	8	6	6	9	8	5	6	7	9	6	5	7	7	10	7	7	4	6	6	8	9	6	13	7	5	7	5	5	6	6	8	10	7	7	8	6	5	5	5	7	7	5	5	7	8	7	6	7	8	6	6	6	7	6	7	5	5	6	8	7	5	5	5	5	2	2	3	3	3	1
	8	10	6	8	9	8	10	10	6	5	10	8	4	7	9	8	6	9	6	5	8	7	7	7	9	7	6	8	8	8	8	6	7	9	8	5	6	7	9	6	5	7	7	10	7	7	4	6	6	8	10	6	13	8	5	7	5	5	6	6	8	10	7	8	8	6	5	5	5	7	7	5	5	7	8	7	6	7	8	6	6	6	7	6	7	5	5	6	8	7	6	5	5	5	2	2	3	3	3	2
	8	10	6	8	9	8	10	11	6	5	10	8	5	7	9	9	6	9	6	5	8	8	8	7	9	7	6	8	8	8	8	6	7	9	8	5	6	7	9	6	5	8	7	10	8	7	4	6	6	8	10	6	13	8	5	7	5	5	6	6	8	10	7	8	8	6	5	5	5	7	7	5	5	8	8	7	6	7	8	6	6	6	7	6	7	5	5	6	8	7	6	6	5	5	2	2	3	3	4	2
	8	10	6	8	9	8	11	11	6	5	10	8	5	8	9	9	6	9	6	5	8	8	8	8	9	7	7	8	8	8	8	7	7	10	8	5	6	7	9	6	5	8	8	10	8	7	4	6	6	8	10	6	13	8	5	7	5	5	6	6	8	10	7	8	8	6	5	5	5	7	7	5	5	8	8	7	6	7	8	6	6	6	7	6	8	5	5	6	8	7	6	6	6	5	2	2	3	4	4	2
